code,title_y,address,price,rating_x,like-dislike,rating_y,commentCount_y,distance,score5-1,commentCount_x,lat,lon,textCommentCount,count
5ooryj,خانه سرآشپز,دانشجو، خیابان شهید رامین عقدایی (وکیل آباد 35)، بلوار وکیل آباد، طبقه همکف، خانه سرآشپز,0.6772388746160956,0.60689990281827,0.031212484993997595,0.9219036058765485,0.0062074358890807785,0.9071819535319667,0.7777777777777778,462.0,36.328815061051,59.49835324247001,69.0,0.13690476190476192
6d27qe,پیتزا ساندویچ منا,مفتح شرقی 3، خیابان عبادت، بین عبادت 26 و 28، روبروی ایستگاه اتوبوس، پیتزا ساندویچ منا,0.85758469706447,0.0,0.009603841536614645,0.9111223127903535,6.516993059402392e-05,0.9887803760998528,0.717948717948718,85.0,36.282118822026,59.661477179787,7.0,0.02976190476190476
6d41qg,فست فود ساتا ویچ,بلوار مفتح، دور میدان ابوریحان، فست فود ساتا ویچ,0.8516326897229395,0.5367772108843539,0.03391356542617047,0.868710998585152,0.0028674769461370523,0.9920864089766167,0.6837606837606838,257.0,36.296917,59.637877,70.0,0.08928571428571429
6d4d6n,ساندویچ باران,بابانظر ۱۶، نبش شیخ طوسی ۱، ساندویچ باران,0.9142910942819606,0.25117739403453687,0.02068519715578539,0.8060046823615035,0.00029326468767310764,0.980841442189382,0.5470085470085471,99.0,36.309069,59.65945,13.0,0.07142857142857142
6d4j66,ساندویچ شلتوک شعبه 2,چهارراه ورزش، بین شاهد 28 و 30، ساندویچ شلتوک شعبه 2,0.8522990867171587,0.7035883587709576,0.03500347507424022,0.9293645008826367,0.023444882531200105,0.9027283512357487,0.7948717948717948,1520.0,36.3545791,59.5017211,197.0,0.22023809523809523
6d4n5o,فست فود سوخاری خوری (شعبه دانشجو),بین وکیل آباد 35 و 37، فست فود سوخاری خوری (شعبه دانشجو),0.8061593536336464,0.815381217422034,0.03841536614645858,0.8748216742242915,0.00498549969044283,0.9070589856074883,0.6666666666666666,387.0,36.3289005,59.4981769,44.0,0.08333333333333333
6d74gn,پیتزا برگ,بلوار فردوسی، خیابان ثمانه، بین 13 و 15، پلاک 7، طبقه همکف، پیتزا برگ,0.6590195482472807,0.17798528002609654,0.1037557880294975,0.9529508117399286,0.044315552803936266,0.9423281027792566,0.8717948717948718,2801.0,36.328895,59.559013,333.0,0.16071428571428573
6d74xg,پیتزا میتزا,قاسم آباد، اندیشه 18، پیتزا میتزا,0.7095165786002993,0.0505916652375236,0.016100557870206905,0.7538171740505581,0.005083254586333866,0.9171025552171533,0.47863247863247865,393.0,36.35928,59.531229999999994,61.0,0.2976190476190476
6d7goo,فست فود سوخاریکا,چهارراه خواجه ربیع، روبروی بانک ملت، فست فود سوخاریکا,0.7118919251512661,0.0,0.012690790601955066,0.7241360312925489,1.629248264850598e-05,0.9781392955575529,0.4444444444444444,82.0,36.302893400344,59.609486026892,8.0,0.07738095238095238
6dd4nw,پیتزا چوب,بلوار مجد، نبش مجد 31، پیتزا چوب,0.8148168188576908,0.34676377258122376,0.04609843937575029,0.8980492561499652,0.013718270390042035,0.9646108530685048,0.7521367521367521,923.0,36.31015,59.588857,144.0,0.08333333333333333
6dj55g,پیتزا اون (شعبه صارمی),بلوار صارمی، صارمی 36/5، پیتزا آون (شعبه صارمی),0.5998200614201592,0.048335123523093444,0.045997346306943826,0.9370471008445449,0.0075597119489067745,0.9100069622270073,0.8461538461538461,545.0,36.31884,59.500023999999996,80.0,0.10714285714285714
6djg8n,کباب سرای ریحون,هدایت 12، نبش آفتابی 4، کباب سرای ریحون,0.9233814327672073,0.2040816326530612,0.024009603841536612,0.9297844665555557,0.002248362605493825,0.9666559434779057,0.7777777777777778,219.0,36.326129,59.606978,42.0,0.047619047619047616
6djnm6,کترینگ و آشپزخانه محفل,میدان شهدا، نبش صاحب الزمان 24، کترینگ و آشپزخانه محفل,0.8582946092128416,0.055723158828748974,0.0706842737094838,0.7853552377991517,0.01893186483756395,0.9748256901262718,0.5299145299145299,1243.0,36.298186,59.60095499999999,193.0,0.14285714285714285
6djrmw,فست فود سوخارو,بلوار جمهوری، نبش جمهوری ۲۰، فست فود سوخارو,0.7819292728378522,0.13275718450645554,0.010118333047504714,0.7701125010573485,0.004773697416012252,0.9768172253064954,0.5128205128205128,374.0,36.2601746,59.60684299999999,29.0,0.16071428571428573
